President;George Washington;(1732-1799);30 april 1789;4 maart 1797;2;;;;;
FirstLady;Martha Dandridge;(1731-1802);;;;;;;;
PresidentialPet;Sweetlips;dog;;;;;;;;
PresidentialPet;Scentwell;dog;;;;;;;;
PresidentialPet;Vulcan;dog;;;;;;;;
PresidentialPet;Royal Gift;donkey;;;;;;;;
PresidentialPet;Nelson;horse;;;;;;;;
PresidentialPet;Cornwallis;dog;;;;;;;;
PresidentialPet;Samson;horse;;;;;;;;
PresidentialPet;Steady;horse;;;;;;;;
PresidentialPet;Leonidas;horse;;;;;;;;
PresidentialPet;Traveller;horse;;;;;;;;
PresidentialPet;Magnolia;horse;;;;;;;;
President;Ronald Wilson Reagan;(1911-2004);20 januari 1981;20 januari 1989;2;;;;;
FirstLady;Nancy Davis;(1921-2016);;;;;;;;
President;George Herbert Walker Bush;(1924-...);20 januari 1989;20 januari 1993;1;;;;;
FirstLady;Barbara Pierce;(1925-...);;;;;;;;
President;William Jefferson (Bill) Clinton;(1946-...);20 januari 1993;20 januari 2001;2;;;;;
FirstLady;Hillary Diane Rodham;(1947-...);;;;;;;;
President;George Walker Bush;(1946-...);20 januari 2001;20 januari 2009;2;;;;;
FirstLady;Laura Lane Welch;(1946-...);;;;;;;;
PresidentialPet;Spotty Fetcher;dog;;;;;;;;
PresidentialPet;Barney;dog;;;;;;;;
PresidentialPet;India Willie;cat;;;;;;;;
PresidentialPet;Ofelia;cow;;;;;;;;
President;Barack Hussein Obama;(1961-...);20 januari 2009;20 januari 2017;2;;;;;
FirstLady;Michelle LaVaughn Robinson;(1964-...);;;;;;;;
PresidentialPet;Bo;dog;;;;;;;;
PresidentialPet;Sunny;dog;;;;;;;;
President;Donald John Trump;(1946-...);20 januari 2017;NB;0;;;;;
FirstLady;Melanija Knavs;(1970-...);;;;;;;;
